option	kind	default	family	object	depends	source	help	role	n_values	in_build
pc_bjacobi_local_blocks	int	jac->n_local	pc	bjacobi	pc_type=bjacobi	src/ksp/pc/impls/bjacobi/bjacobi.c:162	Local number of blocks	tuning		yes
pc_composite_pcs	array		pc	composite	pc_type=composite	src/ksp/pc/impls/composite/composite.c:252	List of composite solvers	tuning		yes
pc_composite_type	enum	(PetscEnum)jac->type	pc	composite	pc_type=composite	src/ksp/pc/impls/composite/composite.c:249	Type of composition	tuning	6	yes
pc_deflation_compute_space	enum	(PetscEnum)def->spacetype	pc	deflation	pc_type=deflation	src/ksp/pc/impls/deflation/deflation.c:750	Compute deflation space	tuning	9	yes
pc_deflation_compute_space_size	int	def->spacesize	pc	deflation	pc_type=deflation	src/ksp/pc/impls/deflation/deflation.c:751	Set size of the deflation space to compute	tuning		yes
pc_deflation_correction	bool	def->correct	pc	deflation	pc_type=deflation	src/ksp/pc/impls/deflation/deflation.c:748	Add coarse problem correction Q to P	tuning		yes
pc_deflation_correction_factor	real	def->correctfact	pc	deflation	pc_type=deflation	src/ksp/pc/impls/deflation/deflation.c:749	Set multiple of Q to use as coarse problem correction	tuning		yes
pc_deflation_init_only	bool	def->init	pc	deflation	pc_type=deflation	src/ksp/pc/impls/deflation/deflation.c:745	Use only initialization step - Initdef	tuning		yes
pc_deflation_levels	int	def->maxlvl	pc	deflation	pc_type=deflation	src/ksp/pc/impls/deflation/deflation.c:746	Maximum of deflation levels	tuning		yes
pc_deflation_reduction_factor	int	def->reductionfact	pc	deflation	pc_type=deflation	src/ksp/pc/impls/deflation/deflation.c:747	Reduction factor for coarse problem solution using PCTELESCOPE	tuning		yes
pc_deflation_space_extend	bool	def->extendsp	pc	deflation	pc_type=deflation	src/ksp/pc/impls/deflation/deflation.c:752	Extend deflation space instead of truncating (wavelets)	tuning		yes
pc_eisenstat_no_diagonal_scaling	bool	eis->usediag ? PETSC_FALSE : PETSC_TRUE	pc	eisen	pc_type=eisens	src/ksp/pc/impls/eisens/eisen.c:160	Do not use standard diagonal scaling	tuning		yes
pc_eisenstat_omega	real	eis->omega	pc	eisen	pc_type=eisens	src/ksp/pc/impls/eisens/eisen.c:158	Relaxation factor 0 < omega < 2	tuning		yes
pc_exotic_direct_solver	bool	ctx->directSolve	pc	wb	pc_type=wb	src/ksp/pc/impls/wb/wb.c:779	use direct solver to construct interpolation	tuning		yes
pc_exotic_type	enum	(PetscEnum)ctx->type	pc	wb	pc_type=wb	src/ksp/pc/impls/wb/wb.c:777	face or wirebasket	tuning	2	yes
pc_factor_column_pivot	real	factor->info.dtcol	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:234	Column pivot tolerance (used only for some factorization)	tuning		yes
pc_factor_diagonal_fill	bool	((PC_Factor *)ilu)->info.diagonal_fill ?	pc	ilu	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/ilu/ilu.c:57	Allow fill into empty diagonal entry	tuning		yes
pc_factor_drop_tolerance	array		pc	icc	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/icc/icc.c:138	None	tuning		not found
pc_factor_fill	real	factor->info.fill	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:227	Expected non-zeros in factored matrix	tuning		yes
pc_factor_in_place	bool	inplace	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:225	Form factored matrix in the same memory as the matrix	tuning		yes
pc_factor_levels	real	((PC_Factor *)icc)->info.levels	pc	icc	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/icc/icc.c:133	levels of fill	tuning		yes
pc_factor_levels	int	(PetscInt)((PC_Factor *)ilu)->info.level	pc	ilu	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/ilu/ilu.c:54	levels of fill	tuning		yes
pc_factor_mat_factor_on_host	bool	factor->info.factoronhost	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:251	Do mat factorization on host (with device matrix types)	tuning		yes
pc_factor_mat_ordering_type	enum	factor->ordering	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:249	Reordering to reduce nonzeros in factored matrix	tuning		yes
pc_factor_mat_solve_on_host	bool	factor->info.solveonhost	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:252	Do mat solve on host with the factor (with device matrix types)	tuning		yes
pc_factor_mat_solver_type	string	solvertype	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:245	Specific direct solver to use	tuning		yes
pc_factor_nonzeros_along_diagonal	bool	&flg	pc	ilu	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/ilu/ilu.c:59	Reorder to remove zeros from diagonal	tuning		yes
pc_factor_nonzeros_along_diagonal	bool	&flg	pc	lu	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/lu/lu.c:30	Reorder to remove zeros from diagonal	tuning		yes
pc_factor_pivot_in_blocks	bool	factor->info.pivotinblocks ? PETSC_TRUE 	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:236	Pivot inside matrix dense blocks for BAIJ and SBAIJ	tuning		yes
pc_factor_reuse_fill	bool	PETSC_FALSE	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:239	Use fill from previous factorization	tuning		yes
pc_factor_reuse_ordering	bool	PETSC_FALSE	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:241	Reuse ordering from previous factorization	tuning		yes
pc_factor_shift_amount	real	factor->info.shiftamount	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:231	Shift added to diagonal	tuning		yes
pc_factor_shift_type	enum	(PetscEnum)(int)factor->info.shifttype	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:229	Type of shift to add to diagonal	tuning	4	yes
pc_factor_zeropivot	real	factor->info.zeropivot	pc	factimpl	pc_type=lu|ilu|cholesky|icc	src/ksp/pc/impls/factor/factimpl.c:233	Pivot is considered zero if less than	tuning		yes
pc_fieldsplit_block_size	int	jac->bs	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1896	Blocksize that defines number of fields	tuning		yes
pc_fieldsplit_detect_saddle_point	bool	jac->detect	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1902	Form 2-way split by detecting zero diagonal entries	tuning		yes
pc_fieldsplit_diag_use_amat	bool	jac->diag_use_amat	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1899	Use Amat (not Pmat) to extract diagonal fieldsplit blocks	tuning		yes
pc_fieldsplit_dm_splits	bool	jac->dm_splits	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1895	Whether to use DMCreateFieldDecomposition() for splits	tuning		yes
pc_fieldsplit_gkb_delay	int	jac->gkbdelay	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1921	The delay value for lower bound criterion	tuning		yes
pc_fieldsplit_gkb_maxit	int	jac->gkbmaxit	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1923	Maximum allowed number of iterations	tuning		yes
pc_fieldsplit_gkb_monitor	bool	jac->gkbmonitor	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1924	Prints number of GKB iterations and error	diagnostic		yes
pc_fieldsplit_gkb_nu	real	jac->gkbnu	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1922	Parameter in augmented Lagrangian approach	tuning		yes
pc_fieldsplit_gkb_tol	real	jac->gkbtol	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1920	The tolerance for the lower bound stopping criterion	tuning		yes
pc_fieldsplit_off_diag_use_amat	bool	jac->offdiag_use_amat	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1901	Use Amat (not Pmat) to extract off-diagonal fieldsplit blocks	tuning		yes
pc_fieldsplit_schur_fact_type	enum	(PetscEnum)jac->schurfactorization	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1916	Which off-diagonal parts of the block factorization to use	tuning	4	yes
pc_fieldsplit_schur_precondition	enum	(PetscEnum)jac->schurpre	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1917	How to build preconditioner for Schur complement	tuning	5	yes
pc_fieldsplit_schur_scale	real	jac->schurscale	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1918	Scale Schur complement	tuning		yes
pc_fieldsplit_type	enum	(PetscEnum)jac->type	pc	fieldsplit	pc_type=fieldsplit	src/ksp/pc/impls/fieldsplit/fieldsplit.c:1904	Type of composition	tuning	6	yes
pc_gasm_overlap	int	osm->overlap	pc	gasm	pc_type=gasm	src/ksp/pc/impls/gasm/gasm.c:878	Number of overlapping degrees of freedom	tuning		yes
pc_gasm_total_subdomains	int	osm->N	pc	gasm	pc_type=gasm	src/ksp/pc/impls/gasm/gasm.c:876	Total number of subdomains across communicator	tuning		yes
pc_gasm_type	enum	(PetscEnum)osm->type	pc	gasm	pc_type=gasm	src/ksp/pc/impls/gasm/gasm.c:884	Type of restriction/extension	tuning	4	yes
pc_gasm_use_dm_subdomains	bool	"""PCGASMSetUseDMSubdomains"""	pc	gasm	pc_type=gasm	src/ksp/pc/impls/gasm/gasm.c:875	None	tuning		yes
pc_gasm_use_hierachical_partitioning	bool	osm->hierarchicalpartitioning	pc	gasm	pc_type=gasm	src/ksp/pc/impls/gasm/gasm.c:886	use hierarchical partitioning	tuning		yes
pc_h2opus_atol	real	pch2opus->atol	pc	pch2opus	pc_type=h2opus	src/ksp/pc/impls/h2opus/pch2opus.c:142	Absolute tolerance	tuning		not found
pc_h2opus_eta	real	pch2opus->eta	pc	pch2opus	pc_type=h2opus	src/ksp/pc/impls/h2opus/pch2opus.c:147	Admissibility condition tolerance	tuning		not found
pc_h2opus_forcecpu	bool	pch2opus->forcecpu	pc	pch2opus	pc_type=h2opus	src/ksp/pc/impls/h2opus/pch2opus.c:151	Force construction on CPU	tuning		not found
pc_h2opus_hyperorder	int	pch2opus->hyperorder	pc	pch2opus	pc_type=h2opus	src/ksp/pc/impls/h2opus/pch2opus.c:145	Hyper power order of sampling	tuning		not found
pc_h2opus_leafsize	int	pch2opus->leafsize	pc	pch2opus	pc_type=h2opus	src/ksp/pc/impls/h2opus/pch2opus.c:146	Leaf size when constructed from kernel	tuning		not found
pc_h2opus_maxits	int	pch2opus->maxits	pc	pch2opus	pc_type=h2opus	src/ksp/pc/impls/h2opus/pch2opus.c:140	Maximum number of iterations for Newton-Schultz	tuning		not found
pc_h2opus_maxrank	int	pch2opus->max_rank	pc	pch2opus	pc_type=h2opus	src/ksp/pc/impls/h2opus/pch2opus.c:148	Maximum rank when constructed from matvecs	tuning		not found
pc_h2opus_monitor	bool	pch2opus->monitor	pc	pch2opus	pc_type=h2opus	src/ksp/pc/impls/h2opus/pch2opus.c:141	Monitor Newton-Schultz convergence	diagnostic		not found
pc_h2opus_mrtol	real	pch2opus->mrtol	pc	pch2opus	pc_type=h2opus	src/ksp/pc/impls/h2opus/pch2opus.c:150	Relative tolerance for construction from sampling	tuning		not found
pc_h2opus_norm_type	enum	(PetscEnum)pch2opus->normtype	pc	pch2opus	pc_type=h2opus	src/ksp/pc/impls/h2opus/pch2opus.c:144	Norm type for convergence monitoring	tuning	5	not found
pc_h2opus_rtol	real	pch2opus->rtol	pc	pch2opus	pc_type=h2opus	src/ksp/pc/impls/h2opus/pch2opus.c:143	Relative tolerance	tuning		not found
pc_h2opus_samples	int	pch2opus->bs	pc	pch2opus	pc_type=h2opus	src/ksp/pc/impls/h2opus/pch2opus.c:149	Number of samples to be taken concurrently when constructing from matvecs	tuning		not found
pc_hmg_coarsening_component	int	hmg->component	pc	hmg	pc_type=hmg	src/ksp/pc/impls/hmg/hmg.c:262	Which component is chosen for the subspace-based coarsening algorithm	tuning		yes
pc_hmg_reuse_interpolation	bool	hmg->reuseinterp	pc	hmg	pc_type=hmg	src/ksp/pc/impls/hmg/hmg.c:259	Reuse the interpolation operators when possible (cheaper, weaker when matrix entries change a lot)	tuning		yes
pc_hmg_use_matmaij	bool	hmg->usematmaij	pc	hmg	pc_type=hmg	src/ksp/pc/impls/hmg/hmg.c:261	Use MatMAIJ store interpolation for saving memory	tuning		yes
pc_hmg_use_subspace_coarsening	bool	hmg->subcoarsening	pc	hmg	pc_type=hmg	src/ksp/pc/impls/hmg/hmg.c:260	Use the subspace coarsening to compute the interpolations	tuning		yes
pc_jacobi_abs	bool	jac->useabs	pc	jacobi	pc_type=jacobi	src/ksp/pc/impls/jacobi/jacobi.c:440	Use absolute values of diagonal entries	tuning		yes
pc_jacobi_fixdiagonal	bool	jac->fixdiag	pc	jacobi	pc_type=jacobi	src/ksp/pc/impls/jacobi/jacobi.c:441	Fix null terms on diagonal	tuning		yes
pc_jacobi_rowl1_scale	real	jac->scale	pc	jacobi	pc_type=jacobi	src/ksp/pc/impls/jacobi/jacobi.c:442	scaling of off-diagonal elements for rowl1	tuning		yes
pc_jacobi_type	enum	(PetscEnum)deflt	pc	jacobi	pc_type=jacobi	src/ksp/pc/impls/jacobi/jacobi.c:438	How to construct diagonal matrix	tuning	4	yes
pc_kaczmarz_lambda	real	jac->lambda	pc	kaczmarz	pc_type=kaczmarz	src/ksp/pc/impls/kaczmarz/kaczmarz.c:76	relaxation factor (0 < lambda)	tuning		yes
pc_kaczmarz_symmetric	bool	jac->symmetric	pc	kaczmarz	pc_type=kaczmarz	src/ksp/pc/impls/kaczmarz/kaczmarz.c:77	apply row projections symmetrically	tuning		yes
pc_lsc_commute	bool	lsc->commute	pc	lsc	pc_type=lsc	src/ksp/pc/impls/lsc/lsc.c:167	Whether to commute the LSC preconditioner in the style of Olshanskii	tuning		yes
pc_lsc_scale_diag	bool	lsc->scalediag	pc	lsc	pc_type=lsc	src/ksp/pc/impls/lsc/lsc.c:168	Whether to scale BBt products. Will use the inverse of the diagonal of Qscale or A if the former is not provided.	tuning		yes
pc_mg_adapt_cr	bool	PETSC_FALSE	pc	mg	pc_type=mg	src/ksp/pc/impls/mg/mg.c:701	Monitor coarse space quality using Compatible Relaxation (CR)	tuning		yes
pc_mg_adapt_interp_coarse_space	enum	eigenvector	pc	mg	pc_type=mg	src/ksp/pc/impls/mg/mg.c:696	None	tuning	6	yes
pc_mg_adapt_interp_n	int	mg->Nc	pc	mg	pc_type=mg	src/ksp/pc/impls/mg/mg.c:698	Size of the coarse space for adaptive interpolation	tuning		yes
pc_mg_cycle_type	enum	(PetscEnum)mgctype	pc	mg	pc_type=mg	src/ksp/pc/impls/mg/mg.c:693	V cycle or for W-cycle	tuning	3	yes
pc_mg_distinct_smoothup	bool	PETSC_FALSE	pc	mg	pc_type=mg	src/ksp/pc/impls/mg/mg.c:704	Create separate smoothup KSP and append the prefix _up	tuning		yes
pc_mg_galerkin	enum	(PetscEnum)mg->galerkin	pc	mg	pc_type=mg	src/ksp/pc/impls/mg/mg.c:706	Use Galerkin process to compute coarser operators	tuning	5	yes
pc_mg_levels	int	levels	pc	mg	pc_type=mg	src/ksp/pc/impls/mg/mg.c:683	Number of Levels	tuning		yes
pc_mg_log	bool	flg	pc	mg	pc_type=mg	src/ksp/pc/impls/mg/mg.c:716	Log times for each multigrid level	diagnostic		yes
pc_mg_mesp_monitor	bool	PETSC_FALSE	pc	mg	pc_type=mg	src/ksp/pc/impls/mg/mg.c:699	Monitor the multilevel eigensolver	diagnostic		yes
pc_mg_multiplicative_cycles	int	mg->cyclesperpcapply	pc	mg	pc_type=mg	src/ksp/pc/impls/mg/mg.c:712	Number of cycles for each preconditioner step	tuning		yes
pc_mg_type	enum	(PetscEnum)mgtype	pc	mg	pc_type=mg	src/ksp/pc/impls/mg/mg.c:709	Multigrid type	tuning	4	yes
pc_ml_Aux	bool	pc_ml->Aux	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1056	Aggregate using auxiliary coordinate-based laplacian	tuning		not found
pc_ml_AuxThreshold	real	pc_ml->AuxThreshold	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1057	Auxiliary smoother drop tol	tuning		not found
pc_ml_BlockScaling	bool	pc_ml->BlockScaling	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1000	Scale all dofs at each node together	tuning		not found
pc_ml_CoarsenScheme	enum	4	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:992	Aggregate Coarsen Scheme	tuning	4	not found
pc_ml_DampingFactor	real	pc_ml->DampingFactor	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:996	P damping factor	tuning		not found
pc_ml_EnergyMinimization	int	pc_ml->EnergyMinimization	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1002	Energy minimization norm type (0=no minimization; see ML manual for 1,2,3; -1 and 4 undocumented)	tuning		not found
pc_ml_EnergyMinimizationCheap	bool	pc_ml->EnergyMinimizationCheap	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1017	Use cheaper variant of norm type 2	tuning		not found
pc_ml_EnergyMinimizationDropTol	real	pc_ml->EnergyMinimizationDropTol	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1014	Energy minimization drop tolerance	tuning		not found
pc_ml_KeepAggInfo	bool	"""None"""	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1021	None	tuning		not found
pc_ml_OldHierarchy	bool	pc_ml->OldHierarchy	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1032	Use old routine to generate hierarchy	tuning		not found
pc_ml_PrintLevel	int	PrintLevel	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:988	Print level	tuning		not found
pc_ml_Reusable	bool	pc_ml->Reusable	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1024	Store intermedaiate data structures so that the multilevel hierarchy is reusable	tuning		not found
pc_ml_SpectralNormScheme_Anorm	bool	pc_ml->SpectralNormScheme_Anorm	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:998	Method used for estimating spectral radius	tuning		not found
pc_ml_Symmetrize	bool	pc_ml->Symmetrize	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:999	Symmetrize aggregation	tuning		not found
pc_ml_Threshold	real	pc_ml->Threshold	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:997	Smoother drop tol	tuning		not found
pc_ml_maxCoarseSize	int	pc_ml->MaxCoarseSize	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:991	Maximum coarsest mesh size	tuning		not found
pc_ml_maxNlevels	int	pc_ml->MaxNlevels	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:990	Maximum number of levels	tuning		not found
pc_ml_nullspace	enum	(PetscEnum)pc_ml->nulltype	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1001	Which type of null space information to use	tuning	4	not found
pc_ml_repartition	bool	pc_ml->Repartition	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1033	Allow ML to repartition levels of the hierarchy	tuning		not found
pc_ml_repartitionMaxMinRatio	real	pc_ml->MaxMinRatio	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1035	Acceptable ratio of repartitioned sizes	tuning		not found
pc_ml_repartitionMinPerProc	int	pc_ml->MinPerProc	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1036	Smallest repartitioned size	tuning		not found
pc_ml_repartitionPutOnSingleProc	int	pc_ml->PutOnSingleProc	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1037	Problem size automatically repartitioned to one processor	tuning		not found
pc_ml_repartitionType	enum	2	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1040	Repartitioning library to use	tuning	2	not found
pc_ml_repartitionZoltanScheme	enum	3	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1046	Repartitioning scheme to use	tuning	3	not found
pc_ml_reuse_interpolation	bool	pc_ml->reuse_interpolation	pc	ml	pc_type=ml	src/ksp/pc/impls/ml/ml.c:1003	Reuse the interpolation operators when possible (cheaper, weaker when matrix entries change a lot)	tuning		not found
pc_parms_blocksize	int	parms->blocksize	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:275	Block size	tuning		not found
pc_parms_droptol_factors	real	"L^{-1}F and EU^{-1}"""	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:292	None	tuning		not found
pc_parms_droptol_last_schur	real	parms->droptol[5]	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:295	drop tolerance for ILUT in last level schur complement	tuning		not found
pc_parms_droptol_schur_compl	real	parms->droptol[4]	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:293	drop tolerance for schur complement at each level	tuning		not found
pc_parms_global	enum	(PetscEnum)parms->global	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:268	Global preconditioner	tuning	3	not found
pc_parms_ind_tol	real	parms->indtol	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:276	Tolerance for independent sets	tuning		not found
pc_parms_inter_column_perm	bool	parms->meth[1]	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:280	column permutation for interlevel blocks	tuning		not found
pc_parms_inter_column_scaling	bool	parms->meth[3]	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:282	column scaling for interlevel blocks	tuning		not found
pc_parms_inter_nonsymmetric_perm	bool	parms->meth[0]	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:279	nonsymmetric permutation for interlevel blocks	tuning		not found
pc_parms_inter_row_scaling	bool	parms->meth[2]	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:281	row scaling for interlevel blocks	tuning		not found
pc_parms_last_column_perm	bool	parms->meth[5]	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:284	column permutation for last level blocks	tuning		not found
pc_parms_last_column_scaling	bool	parms->meth[7]	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:286	column scaling for last level blocks	tuning		not found
pc_parms_last_nonsymmetric_perm	bool	parms->meth[4]	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:283	nonsymmetric permutation for last level blocks	tuning		not found
pc_parms_last_row_scaling	bool	parms->meth[6]	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:285	row scaling for last level blocks	tuning		not found
pc_parms_levels	int	parms->levels	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:273	Number of levels	tuning		not found
pc_parms_lfil_ilu_arms	int	"""PCPARMSSetFill"""	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:287	None	tuning		not found
pc_parms_lfil_ilut_L_U	int	parms->lfil[5]	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:290	amount of fill-in for ILUT L and U	tuning		not found
pc_parms_lfil_schur	int	parms->lfil[4]	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:289	amount of fill-in for schur	tuning		not found
pc_parms_local	enum	(PetscEnum)parms->local	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:270	Local preconditioner	tuning	4	not found
pc_parms_max_dim	int	parms->maxdim	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:277	Inner Krylov dimension	tuning		not found
pc_parms_max_it	int	parms->maxits	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:278	Maximum number of inner iterations	tuning		not found
pc_parms_nonsymmetric_perm	bool	parms->nonsymperm	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:274	Use nonsymmetric permutation	tuning		not found
pc_parms_solve_tol	real	parms->solvetol	pc	parms	pc_type=parms	src/ksp/pc/impls/parms/parms.c:272	Tolerance for local solve	tuning		not found
pc_redundant_number	int	red->nsubcomm	pc	redundant	pc_type=redundant	src/ksp/pc/impls/redundant/redundant.c:303	Number of redundant pc	tuning		yes
pc_sor_backward	bool	&flg	pc	sor	pc_type=sor	src/ksp/pc/impls/sor/sor.c:81	use backward sweep instead of forward	tuning		yes
pc_sor_diagonal_shift	real	jac->fshift	pc	sor	pc_type=sor	src/ksp/pc/impls/sor/sor.c:76	Add to the diagonal entries	tuning		yes
pc_sor_forward	bool	&flg	pc	sor	pc_type=sor	src/ksp/pc/impls/sor/sor.c:83	use forward sweep	tuning		yes
pc_sor_its	int	jac->its	pc	sor	pc_type=sor	src/ksp/pc/impls/sor/sor.c:77	number of inner SOR iterations	tuning		yes
pc_sor_lits	int	jac->lits	pc	sor	pc_type=sor	src/ksp/pc/impls/sor/sor.c:78	number of local inner SOR iterations	tuning		yes
pc_sor_local_backward	bool	&flg	pc	sor	pc_type=sor	src/ksp/pc/impls/sor/sor.c:87	use backward sweep locally	tuning		yes
pc_sor_local_forward	bool	&flg	pc	sor	pc_type=sor	src/ksp/pc/impls/sor/sor.c:89	use forward sweep locally	tuning		yes
pc_sor_local_symmetric	bool	&flg	pc	sor	pc_type=sor	src/ksp/pc/impls/sor/sor.c:85	use SSOR separately on each processor	tuning		yes
pc_sor_omega	real	jac->omega	pc	sor	pc_type=sor	src/ksp/pc/impls/sor/sor.c:74	relaxation factor (0 < omega < 2)	tuning		yes
pc_sor_symmetric	bool	"""PCSORSetSymmetric"""	pc	sor	pc_type=sor	src/ksp/pc/impls/sor/sor.c:79	None	tuning		yes
pc_spai_block_size	int	ispai->block_size	pc	ispai	pc_type=spai	src/ksp/pc/impls/spai/ispai.c:451		tuning		not found
pc_spai_cache_size	int	ispai->cache_size	pc	ispai	pc_type=spai	src/ksp/pc/impls/spai/ispai.c:453		tuning		not found
pc_spai_epsilon	real	ispai->epsilon	pc	ispai	pc_type=spai	src/ksp/pc/impls/spai/ispai.c:442		tuning		not found
pc_spai_max	int	ispai->max	pc	ispai	pc_type=spai	src/ksp/pc/impls/spai/ispai.c:447		tuning		not found
pc_spai_maxnew	int	ispai->maxnew	pc	ispai	pc_type=spai	src/ksp/pc/impls/spai/ispai.c:449		tuning		not found
pc_spai_nbsteps	int	ispai->nbsteps	pc	ispai	pc_type=spai	src/ksp/pc/impls/spai/ispai.c:444		tuning		not found
pc_spai_sp	int	ispai->sp	pc	ispai	pc_type=spai	src/ksp/pc/impls/spai/ispai.c:457		tuning		not found
pc_spai_verbose	int	ispai->verbose	pc	ispai	pc_type=spai	src/ksp/pc/impls/spai/ispai.c:455		diagnostic		not found
pc_svd_ess_rank	int	jac->essrank	pc	svd	pc_type=svd	src/ksp/pc/impls/svd/svd.c:308	Essential rank of operator (0 to use entire operator)	tuning		yes
pc_svd_zero_sing	real	jac->zerosing	pc	svd	pc_type=svd	src/ksp/pc/impls/svd/svd.c:307	Singular values smaller than this treated as zero	tuning		yes
pc_telescope_ignore_dm	bool	sred->ignore_dm	pc	telescope	pc_type=telescope	src/ksp/pc/impls/telescope/telescope.c:723	Ignore any DM attached to the PC	tuning		yes
